la_code,ba_ref,prop_ba_rates,occupant_name,postcode,occupation_state,occupation_state_date,rates_code,confidence,slug
E08000016,50808136928121,4150.0,SOUTH YORSHIRE POLICE AUTHORITY,S704BB,False,,50808136928121,100.0,3ncHnJDQcvfHGzLfhJk5RHm9
E08000016,51111191935591,1625.0,,S715QP,False,,51111191935591,100.0,Knc2DHqpcc37t2kLvCj7Ttz5
E08000016,50303278959784,3000.0,THE SEC. NORTHERN TRUST CO LTD,S639BL,False,,50303278959784,100.0,992JxkdIzsqZCrhxqmkrFDc5
E08000016,50707065924947,7300.0,THE SEC. LAUREL CONSTRUCTION LTD,S730DA,False,,50707065924947,100.0,fZv2pMSn9jtf9s9SDtHff5TB
E08000016,51313067000981,1225.0,THE SEC. JOHN CRAMPTON,S752AB,False,,51313067000981,100.0,dFVgMsd93SqccVpcpkL2hcB9
E08000016,51200068941662,2750.0,,S702ST,False,,51200068941662,100.0,cKqFXsJCnjrMsrdQhpnvgqZ7
E08000016,51313065140905,7200.0,THE SEC. MAPLE ESTATES LTD,S752BL,False,,51313065140905,100.0,fKF9dNXN3VCThpckcdNFrB77
E08000016,51313010003415,2050.0,,S711AN,False,,51313010003415,100.0,G2D9JJqgtq99nrG3zDfPNXZC
E08000016,50303118917704,13250.0,THE SEC. HARNSER INNS LTD,S630JX,False,,50303118917704,100.0,QRsGgp2MvVvq373CLqGQJf7D
E08000016,50909110003481,1975.0,,S366HF,False,,50909110003481,100.0,dGF3T3ZdsqtqZHbqKQm7GcbB
E08000016,51212010051134,1575.0,,S701DF,False,,51212010051134,100.0,RkGKfGPVV9qpvhmcbpPIIpb5
E08000016,50606072000486,1775.0,,S714QN,False,,50606072000486,100.0,JPVjbQcdLTVInzm9rXhrpNT3
E08000016,50202272003369,5600.0,THE SEC.BBIC,S751JL,False,,50202272003369,100.0,QsrDtvSjnFVIRGFNpmHvVHp2
E08000016,51313161000723,4150.0,THE SEC. QUEENS ERECTIONS LTD,S702EJ,False,,51313161000723,100.0,z7JD2vtXtnnLjd7GztxF2TPC
E08000016,50909118002546,2650.0,,S306DT,False,,50909118002546,100.0,zdMIV7chxGZHHk9svSzp9v99
E08000016,50700017926261,1875.0,THE SEC. BROWN & CO LTD,S738HA,False,,50700017926261,100.0,jJvKbJmBhCk5PJzjC5ftKSX5
E08000016,51100054937199,15000.0,THE SEC. LCP ESTATES LTD,S701SZ,False,,51100054937199,100.0,9GGNpRJHSGIj99jvbjRZhZ59
E08000016,50202050002923,4850.0,THE SEC. JOE POLE STORAGE LTD,S751HS,False,,50202050002923,100.0,BB7LxZ7jXNf7cTnVkSxjpgnD
E08000016,51313028154741,2050.0,,S702BX,False,,51313028154741,100.0,KBBrh2xfQtbpfGmsBKbJbqSF
E08000016,51111072002335,1825.0,,S702DQ,False,,51111072002335,100.0,MRRhgfhbvhDrMBMhxrhT9MDF
